"","Group.1","Visibility","Traits.ID","Genus","Morphospecies","Contributor","Latitude","Longitude","Caste","N","Head.width.across.eyes..mm.","Head.length..mm.","Clypeus.length..mm.","Mandible.length..mm.","Hind.femur.length..mm.","Scape.length..mm.","Weber.s.length..mm.","Pronotum.width..mm.","Inter.ocular.width..mm.","Max.eye.width..mm.","Whole.body.length..mm.","Sculpturing","Pilosity....","Number.of.Spines....","Dominant.colour.head..Fig..16.","Dominant.colour.mesosoma..Fig..16.","Dominant.colour.gaster..Fig..16.","Polymorphism","Queen.number","Worker.number....","Colony.type","Colony.founding","Nest.Site","Activity","Diet","Notes","Species","Invasive.To.Political.Region1","Political.Region1","Continent","username","Date.Of.Upload","Batch","Batch.Name"
"Pheidole.18","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.19","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.20","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.21","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.22","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.23","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.24","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.25","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.26","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.27","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.28","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.29","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.30","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.31","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.32","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.33","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.34","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.35","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.36","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.37","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.38","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.39","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.40","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.41","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.42","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.43","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.44","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.45","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.46","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.47","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.48","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.49","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.50","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.51","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
"Pheidole.52","Pheidole","Public","Andersen&Hoffmann_2011_traits_183","Pheidole","True","Gibb, Heloise",-4.12946635117391,85.2355638104783,"Worker",1.49822064056939,0.594390725489362,0.763184966112554,0.192772572816216,0.40212636573,0.796781880633333,0.838187448830189,0.967201290668224,0.480104711604167,0.689922307393333,0.116429240297561,1.79643157894737,1.88157894736842,12.4042553191489,2.39416058394161,18.16,17.9494736842105,18.4989473684211,"Dimorphic (2)","Monogyny (1)",5000,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Generalist (2)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","B gp., sp. SS 2","Native*","Brazil","South America","bgrossman","2017-02-22",141.900355871886,"Traits_1_February 2017"
